AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
52,30.0,1.0,40.0,132000.0
48,155.0,,30.0,33000.0
47,,,40.0,75020.0
70,,,,3900.0
25,60.0,1.0,50.0,40100.0
42,90.0,1.0,38.0,54000.0
75,,,,48000.0
36,20.0,1.0,40.0,112000.0
60,30.0,1.0,40.0,50000.0
84,30.0,1.0,40.0,42700.0
41,,,40.0,50000.0
33,,,,0.0
28,13.0,2.0,26.0,15000.0
49,20.0,1.0,41.0,61000.0
27,6.0,1.0,40.0,38000.0
63,,,,27500.0
86,,,,16800.0
9,,,,
32,,,35.0,11960.0
36,25.0,1.0,48.0,25000.0
41,40.0,1.0,40.0,38000.0
49,15.0,1.0,45.0,52000.0
46,10.0,,70.0,2600.0
50,7.0,1.0,40.0,100100.0
61,19.0,1.0,40.0,75000.0
34,15.0,3.0,50.0,36500.0
86,,,,26000.0
47,30.0,1.0,40.0,22700.0
50,,,,31500.0
54,20.0,1.0,40.0,71000.0
44,20.0,2.0,40.0,52500.0
18,,,25.0,800.0
72,,,,11600.0
64,,,,15600.0
62,10.0,1.0,45.0,32000.0
57,18.0,1.0,40.0,30000.0
18,40.0,1.0,50.0,26000.0
68,5.0,1.0,6.0,13900.0
48,30.0,1.0,45.0,90010.0
77,,,,28000.0
67,,,,5100.0
81,,,,13400.0
46,,,40.0,40000.0
74,,,,25000.0
6,,,,
55,30.0,1.0,32.0,17500.0
43,10.0,1.0,20.0,16000.0
46,,,,0.0
56,15.0,2.0,40.0,24000.0
4,,,,
51,20.0,1.0,20.0,39900.0
5,,,,
4,,,,
61,20.0,1.0,50.0,85000.0
21,5.0,1.0,40.0,8000.0
20,60.0,2.0,20.0,10400.0
63,10.0,1.0,20.0,29000.0
2,,,,
28,15.0,1.0,40.0,35000.0
39,10.0,1.0,40.0,110000.0
43,,,,0.0
6,,,,
36,25.0,2.0,40.0,15150.0
7,,,,
48,12.0,1.0,40.0,61600.0
75,,,,28800.0
64,20.0,1.0,40.0,31500.0
47,,,,4900.0
37,20.0,1.0,40.0,153000.0
44,30.0,1.0,40.0,68000.0
3,,,,
65,,,,26400.0
50,,,25.0,13250.0
25,20.0,1.0,80.0,28000.0
39,,,,0.0
36,15.0,1.0,50.0,60000.0
15,,,,0.0
88,,,,16000.0
8,,,,
12,,,,
26,,,6.0,10900.0
35,45.0,1.0,40.0,50000.0
56,60.0,1.0,30.0,217500.0
23,5.0,1.0,30.0,20000.0
7,,,,
26,20.0,1.0,40.0,35000.0
34,,,30.0,5600.0
78,,,,30700.0
20,10.0,1.0,35.0,13000.0
53,,,,0.0
30,30.0,,40.0,158500.0
27,,,50.0,84000.0
49,60.0,1.0,35.0,24000.0
39,5.0,1.0,16.0,4000.0
52,,,,9600.0
40,,,52.0,24700.0
47,,,,0.0
52,,,,0.0
15,,,,0.0
18,10.0,1.0,30.0,9000.0
78,,,,17400.0
