AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
74,15.0,1.0,40.0,53000.0
14,,,,
39,25.0,1.0,40.0,110700.0
87,,,,0.0
32,,,40.0,9000.0
48,,,,0.0
34,40.0,2.0,35.0,55000.0
39,,,,0.0
89,,,,14000.0
78,,,,51600.0
61,,,40.0,90000.0
95,,,,53500.0
25,20.0,1.0,80.0,50000.0
69,,,,29810.0
0,,,,
42,20.0,,40.0,34300.0
0,,,,
61,15.0,1.0,40.0,347000.0
35,30.0,2.0,40.0,35300.0
60,,,,151000.0
38,20.0,4.0,30.0,70000.0
76,,,,8400.0
51,20.0,1.0,40.0,50000.0
21,,,,0.0
0,,,,
12,,,,
32,10.0,1.0,25.0,22800.0
70,,,,26400.0
31,,,40.0,45010.0
65,,,,2230.0
46,,,38.0,105000.0
38,,,20.0,7500.0
21,,,40.0,11700.0
51,,,,2300.0
54,,,,0.0
63,,,,39500.0
86,,,,11800.0
23,10.0,1.0,40.0,17000.0
27,10.0,2.0,40.0,15000.0
3,,,,
3,,,,
24,10.0,1.0,40.0,15500.0
63,30.0,,22.0,5800.0
74,,,,19200.0
47,60.0,1.0,65.0,65000.0
12,,,,
19,30.0,,20.0,4000.0
23,10.0,1.0,30.0,45000.0
61,,,,22200.0
23,15.0,2.0,40.0,15000.0
29,30.0,2.0,40.0,40000.0
18,20.0,1.0,13.0,920.0
44,20.0,1.0,40.0,60000.0
27,75.0,1.0,40.0,89000.0
47,30.0,,40.0,20000.0
13,,,,
15,,,,0.0
0,,,,
62,,,,50700.0
13,,,,
69,,,,74000.0
80,30.0,1.0,32.0,27000.0
23,5.0,1.0,40.0,44500.0
76,,,,98500.0
14,,,,
41,,,,28000.0
39,20.0,1.0,40.0,88900.0
61,30.0,1.0,40.0,22100.0
30,75.0,1.0,60.0,26100.0
49,,,,44100.0
65,45.0,1.0,38.0,77000.0
92,,,,68700.0
1,,,,
67,,,,51300.0
41,15.0,1.0,35.0,17000.0
56,10.0,1.0,40.0,57000.0
50,,,,0.0
32,40.0,2.0,40.0,43000.0
71,15.0,,20.0,14500.0
18,10.0,1.0,20.0,19000.0
27,45.0,1.0,40.0,90000.0
24,35.0,1.0,48.0,24000.0
36,10.0,1.0,40.0,200000.0
66,30.0,2.0,40.0,41000.0
80,,,,82300.0
33,30.0,1.0,40.0,200000.0
28,,,,0.0
51,45.0,1.0,60.0,108000.0
60,,,38.0,3800.0
73,20.0,1.0,40.0,97700.0
36,20.0,1.0,45.0,120000.0
25,15.0,1.0,8.0,10000.0
51,,,36.0,16000.0
62,45.0,3.0,40.0,77000.0
47,5.0,1.0,60.0,235000.0
47,,,,6000.0
57,2.0,1.0,40.0,46000.0
55,10.0,1.0,60.0,81000.0
47,15.0,1.0,40.0,45000.0
25,,,40.0,40000.0
79,,,,80500.0
61,10.0,1.0,56.0,265000.0
12,,,,
79,,,,68000.0
64,30.0,1.0,32.0,33100.0
36,45.0,2.0,40.0,70000.0
33,30.0,1.0,35.0,48000.0
57,,,40.0,45000.0
62,145.0,1.0,40.0,70000.0
78,,,,60800.0
37,60.0,5.0,40.0,170000.0
40,20.0,1.0,36.0,130000.0
40,30.0,1.0,60.0,200000.0
58,,,,0.0
70,,,,4300.0
54,30.0,1.0,40.0,40000.0
71,20.0,1.0,10.0,20000.0
42,10.0,2.0,50.0,62000.0
76,,,,0.0
11,,,,
40,20.0,1.0,40.0,25000.0
1,,,,
43,,,50.0,230600.0
70,,,,61200.0
64,10.0,1.0,40.0,35000.0
38,20.0,1.0,40.0,50000.0
63,,,,18000.0
12,,,,
18,,,,0.0
36,15.0,1.0,40.0,91000.0
53,50.0,1.0,36.0,110000.0
47,10.0,1.0,40.0,63400.0
4,,,,
46,35.0,1.0,40.0,60800.0
33,16.0,2.0,40.0,35000.0
65,15.0,1.0,30.0,36200.0
54,,,,3300.0
14,,,,
39,45.0,1.0,40.0,110000.0
19,45.0,1.0,14.0,5000.0
4,,,,
46,10.0,1.0,56.0,90000.0
54,,,,0.0
61,,,,0.0
72,,,,30600.0
9,,,,
49,10.0,1.0,40.0,17000.0
9,,,,
47,30.0,1.0,40.0,108000.0
4,,,,
35,,,,7000.0
21,5.0,1.0,40.0,30000.0
73,,,,65000.0
22,20.0,1.0,50.0,29100.0
64,,,,30700.0
9,,,,
13,,,,
75,,,10.0,6000.0
29,15.0,1.0,40.0,42000.0
49,10.0,1.0,60.0,100000.0
6,,,,
